Setup title,SOICMOS-INV-nMOS-IdVd
0.06,2.81668E-05,1.5,-2.81631E-05,2.302E-12
0.12,5.45283E-05,1.5,-5.45268E-05,1.794E-12
0.18,7.91707E-05,1.5,-7.91734E-05,1.543E-12
0.24,0.0001018954,1.5,-0.0001018984,1.193E-12
0.3,0.000122718,1.5,-0.000122872,1.137E-12
0.36,0.000141732,1.5,-0.000141893,9.95E-13
0.42,0.000158958,1.5,-0.000159116,8.75E-13
0.48,0.000174279,1.5,-0.000174436,7.26E-13
0.54,0.000187795,1.5,-0.000187965,7.73E-13
0.6,0.000199613,1.5,-0.000199777,5.66E-13
0.66,0.000209717,1.5,-0.000209882,4.9E-13
0.72,0.000218279,1.5,-0.000218455,4.51E-13
0.78,0.000225389,1.5,-0.000225565,2.99E-13
0.84,0.000231231,1.5,-0.0002314,3.74E-13
0.9,0.000235946,1.5,-0.00023613,2.84E-13
0.96,0.000239691,1.5,-0.000239862,2.45E-13
1.02,0.000242635,1.5,-0.000242826,2.27E-13
1.08,0.000244953,1.5,-0.000245136,1.47E-13
1.14,0.00024679,1.5,-0.000246966,1.46E-13
1.2,0.00024825,1.5,-0.000248428,1.18E-13
1.26,0.000249458,1.5,-0.000249631,2.73E-13
1.32,0.000250481,1.5,-0.000250662,6.2E-14
1.38,0.000251359,1.5,-0.000251533,3E-15
1.44,0.000252158,1.5,-0.000252347,4.4E-14
1.5,0.000252881,1.5,-0.000253057,-4E-15
1.56,0.000253541,1.5,-0.000253725,-5.4E-14
1.62,0.000254168,1.5,-0.000254349,-1.2E-14
1.68,0.00025476,1.5,-0.000254943,-5.2E-14
1.74,0.00025533,1.5,-0.000255504,-2.3E-14
1.8,0.000255888,1.5,-0.000256085,-1.07E-13
1.86,0.000256414,1.5,-0.000256607,-1.41E-13
1.92,0.000256949,1.5,-0.000257135,-1.4E-14
1.98,0.000257484,1.5,-0.000257671,-6.3E-14
2.04,0.000257981,1.5,-0.000258166,-1.13E-13
2.1,0.000258498,1.5,-0.000258696,-1.59E-13
2.16,0.000259053,1.5,-0.000259242,-1.22E-13
2.22,0.00025957,1.5,-0.000259759,-2.37E-13
2.28,0.000260119,1.5,-0.000260292,-1.48E-13
2.34,0.000260654,1.5,-0.000260841,-1.9E-13
2.4,0.000261201,1.5,-0.00026141,-2.43E-13
2.46,0.000261758,1.5,-0.000261943,-1.95E-13
2.52,0.00026232,1.5,-0.000262506,-2.36E-13
2.58,0.00026288,1.5,-0.000263096,-2.8E-13
2.64,0.000263469,1.5,-0.000263684,-3.49E-13
2.7,0.000264068,1.5,-0.000264279,-4.15E-13
2.76,0.000264697,1.5,-0.000264925,-4.03E-13
2.82,0.000265342,1.5,-0.000265563,-3.98E-13
2.88,0.000266023,1.5,-0.00026625,-3.74E-13
2.94,0.000266693,1.5,-0.00026693,-5.14E-13
3,0.000267425,1.5,-0.000267657,-6.48E-13
0,-9.13085E-08,2,8.87542E-08,4.152E-12
0.06,4.07727E-05,2,-4.0771E-05,2.948E-12
0.12,8.01007E-05,2,-8.01028E-05,2.542E-12
0.18,0.000117996,2,-0.000118133,2.284E-12
0.24,0.000154409,2,-0.000154558,1.976E-12
0.3,0.000189449,2,-0.0001896,1.856E-12
0.36,0.000222824,2,-0.000222978,1.61E-12
0.42,0.00025471,2,-0.00025488,1.521E-12
0.48,0.000284913,2,-0.000285085,1.371E-12
0.54,0.000313476,2,-0.000313647,1.199E-12
0.6,0.000340459,2,-0.000340621,1.084E-12
0.66,0.000365644,2,-0.000365814,1.077E-12
0.72,0.00038919,2,-0.000389369,9.77E-13
0.78,0.000410917,2,-0.000411088,8.57E-13
0.84,0.00043092,2,-0.000431102,9E-13
0.9,0.000449156,2,-0.00044934,7.62E-13
0.96,0.000465568,2,-0.00046577,7.46E-13
1.02,0.000480344,2,-0.000480535,7.11E-13
1.08,0.000493399,2,-0.000493588,7.74E-13
1.14,0.000504824,2,-0.000505021,5.94E-13
1.2,0.000514667,2,-0.000514864,6.4E-13
1.26,0.000523036,2,-0.000523242,6.15E-13
1.32,0.000530126,2,-0.000530322,5.36E-13
1.38,0.000535978,2,-0.000536177,4.92E-13
1.44,0.000540806,2,-0.000540989,4.02E-13
1.5,0.00054474,2,-0.000544935,4.74E-13
1.56,0.000547954,2,-0.000548159,4.65E-13
1.62,0.000550604,2,-0.000550809,3.64E-13
1.68,0.000552785,2,-0.000552999,3.63E-13
1.74,0.000554635,2,-0.000554842,4.25E-13
1.8,0.000556194,2,-0.00055639,3.01E-13
1.86,0.000557533,2,-0.00055775,2.47E-13
1.92,0.000558751,2,-0.000558949,2.95E-13
1.98,0.000559832,2,-0.000560045,2.47E-13
2.04,0.00056085,2,-0.000561058,2.66E-13
2.1,0.000561787,2,-0.000561973,1.94E-13
2.16,0.00056266,2,-0.000562858,2.28E-13
2.22,0.00056348,2,-0.000563696,9.6E-14
2.28,0.000564278,2,-0.000564488,1.96E-13
2.34,0.00056506,2,-0.000565267,2.56E-13
2.4,0.000565802,2,-0.000566021,8.5E-14
2.46,0.000566545,2,-0.000566753,9.2E-14
2.52,0.000567268,2,-0.000567485,7.9E-14
2.58,0.000568063,2,-0.000568289,1.27E-13
2.64,0.000568819,2,-0.000569058,1.4E-14
2.7,0.000569589,2,-0.000569823,3.1E-14
2.76,0.000570409,2,-0.000570622,-3.3E-14
2.82,0.000571198,2,-0.000571446,3.7E-14
2.88,0.00057202,2,-0.000572266,-9E-15
2.94,0.000572808,2,-0.000573078,1.5E-14
3,0.00057367,2,-0.00057389,-9.1E-14
0,-1.109554E-07,2.5,1.094788E-07,6.226E-12
0.06,5.09676E-05,2.5,-5.09685E-05,5.033E-12
0.12,0.0001007634,2.5,-0.0001007687,4.641E-12
0.18,0.000149438,2.5,-0.000149597,4.174E-12
0.24,0.000196882,2.5,-0.000197047,3.784E-12
0.3,0.000243271,2.5,-0.00024344,3.607E-12
0.36,0.000288256,2.5,-0.00028843,3.365E-12
0.42,0.000332077,2.5,-0.000332258,3.19E-12
0.48,0.000374473,2.5,-0.000374654,3.095E-12
0.54,0.000415534,2.5,-0.000415723,2.925E-12
0.6,0.000455346,2.5,-0.000455535,2.743E-12
0.66,0.000493614,2.5,-0.000493815,2.673E-12
0.72,0.000530591,2.5,-0.000530789,2.511E-12
0.78,0.000565971,2.5,-0.000566171,2.5E-12
0.84,0.000599895,2.5,-0.000600116,2.358E-12
0.9,0.000632318,2.5,-0.000632534,2.183E-12
0.96,0.000663076,2.5,-0.000663283,2.205E-12
1.02,0.000692325,2.5,-0.000692555,2.098E-12
1.08,0.000719994,2.5,-0.000720218,1.989E-12
1.14,0.000746016,2.5,-0.00074623,2.045E-12
1.2,0.000770339,2.5,-0.000770574,2.058E-12
1.26,0.000792949,2.5,-0.000793187,1.901E-12
1.32,0.000813948,2.5,-0.000814171,1.895E-12
1.38,0.000833225,2.5,-0.000833449,1.773E-12
1.44,0.000850807,2.5,-0.000851032,1.789E-12
1.5,0.000866717,2.5,-0.000866955,1.721E-12
1.56,0.000880903,2.5,-0.000881161,1.69E-12
1.62,0.000893589,2.5,-0.000893815,1.525E-12
1.68,0.000904668,2.5,-0.000904883,1.655E-12
1.74,0.000914251,2.5,-0.000914486,1.519E-12
1.8,0.000922466,2.5,-0.000922703,1.536E-12
1.86,0.000929434,2.5,-0.000929642,1.683E-12
1.92,0.000935245,2.5,-0.000935464,1.559E-12
1.98,0.000940101,2.5,-0.000940343,1.497E-12
2.04,0.000944148,2.5,-0.000944377,1.461E-12
2.1,0.000947503,2.5,-0.000947742,1.512E-12
2.16,0.000950278,2.5,-0.000950508,1.483E-12
2.22,0.000952643,2.5,-0.000952882,1.408E-12
2.28,0.000954675,2.5,-0.000954897,1.428E-12
2.34,0.000956426,2.5,-0.000956636,1.416E-12
2.4,0.000957955,2.5,-0.00095819,1.418E-12
2.46,0.000959312,2.5,-0.000959551,1.349E-12
2.52,0.000960601,2.5,-0.000960828,1.359E-12
2.58,0.000961729,2.5,-0.000961971,1.36E-12
2.64,0.000962819,2.5,-0.000963038,1.295E-12
2.7,0.000963815,2.5,-0.000964062,1.323E-12
2.76,0.000964799,2.5,-0.000965,1.282E-12
2.82,0.000965747,2.5,-0.000965988,1.394E-12
2.88,0.000966646,2.5,-0.000966899,1.285E-12
2.94,0.000967586,2.5,-0.000967856,1.169E-12
3,0.000968504,2.5,-0.00096877,1.225E-12
0,-8.6965E-08,3,1.45563E-07,1.1489E-11
0.06,5.94655E-05,3,-5.94731E-05,1.0786E-11
0.12,0.000117833,3,-0.000117992,1.0357E-11
0.18,0.000175555,3,-0.000175716,1.0043E-11
0.24,0.000232083,3,-0.000232251,9.687E-12
0.3,0.000287795,3,-0.000287968,9.527E-12
0.36,0.000342266,3,-0.000342444,8.875E-12
0.42,0.000395817,3,-0.000395995,8.733E-12
0.48,0.000448117,3,-0.000448307,8.307E-12
0.54,0.000499312,3,-0.000499505,7.767E-12
0.6,0.000549504,3,-0.000549708,7.445E-12
0.66,0.000598362,3,-0.000598571,7.4E-12
0.72,0.000646184,3,-0.000646396,6.945E-12
0.78,0.000692603,3,-0.000692804,6.697E-12
0.84,0.000737832,3,-0.000738055,6.671E-12
0.9,0.000781779,3,-0.000781991,6.532E-12
0.96,0.0008243,3,-0.000824508,6.563E-12
1.02,0.000865577,3,-0.000865792,6.172E-12
1.08,0.000905533,3,-0.000905751,6.189E-12
1.14,0.000944055,3,-0.000944276,5.96E-12
1.2,0.000981132,3,-0.000981372,6.04E-12
1.26,0.001016688,3,-0.001016927,5.763E-12
1.32,0.001050916,3,-0.001051141,5.874E-12
1.38,0.001083601,3,-0.001083847,5.569E-12
1.44,0.001114769,3,-0.001115018,5.597E-12
1.5,0.0011444,3,-0.001144631,5.758E-12
1.56,0.00117247,3,-0.00117273,5.658E-12
1.62,0.00119895,3,-0.00119918,5.866E-12
1.68,0.00122374,3,-0.00122399,5.624E-12
1.74,0.00124703,3,-0.00124728,5.676E-12
1.8,0.00126858,3,-0.00126884,5.598E-12
1.86,0.00128856,3,-0.00128883,5.647E-12
1.92,0.00130689,3,-0.00130712,5.381E-12
1.98,0.00132356,3,-0.00132383,5.515E-12
2.04,0.00133863,3,-0.00133889,5.328E-12
2.1,0.00135212,3,-0.00135234,5.307E-12
2.16,0.00136403,3,-0.00136426,5.011E-12
2.22,0.00137452,3,-0.00137478,5.17E-12
2.28,0.00138363,3,-0.00138389,4.995E-12
2.34,0.00139144,3,-0.00139166,4.91E-12
2.4,0.00139807,3,-0.00139833,5.067E-12
2.46,0.00140368,3,-0.00140392,5.431E-12
2.52,0.00140841,3,-0.00140864,4.951E-12
2.58,0.00141233,3,-0.00141257,4.882E-12
2.64,0.00141561,3,-0.00141584,4.625E-12
2.7,0.0014184,3,-0.00141864,4.923E-12
2.76,0.00142073,3,-0.00142102,4.532E-12
2.82,0.0014228,3,-0.00142304,4.815E-12
2.88,0.00142454,3,-0.00142477,4.561E-12
2.94,0.00142608,3,-0.00142633,4.256E-12
3,0.0014275,3,-0.00142771,4.275E-12
